Id,Category
0,3
1,1
2,4
3,6
4,5
5,0
6,4
7,2
8,0
9,5
10,0
11,0
12,0
13,5
14,5
15,2
16,3
17,6
18,5
19,0
20,1
21,2
22,0
23,0
24,0
25,1
26,1
27,5
28,4
29,0
30,3
31,3
32,1
33,1
34,6
35,5
36,0
37,4
38,5
39,5
40,5
41,6
42,1
43,0
44,1
45,0
46,4
47,0
48,0
49,0
50,1
51,1
52,6
53,3
54,1
55,4
56,4
57,4
58,2
59,5
60,6
61,4
62,1
63,4
64,1
65,3
66,5
67,2
68,1
69,2
70,3
71,0
72,3
73,0
74,3
75,6
76,3
77,4
78,4
79,2
80,3
81,3
82,3
83,1
84,0
85,2
86,2
87,6
88,5
89,4
90,5
91,3
92,3
93,3
94,2
95,4
96,6
97,2
98,3
99,4
100,6
101,5
102,1
103,0
104,5
105,3
106,0
107,0
108,2
109,0
110,2
111,4
112,3
113,5
114,4
115,3
116,6
117,5
118,2
119,4
120,2
121,2
122,4
123,0
124,0
125,1
126,1
127,1
128,0
129,3
130,2
131,2
132,1
133,5
134,5
135,4
136,1
137,5
138,2
139,5
140,2
141,6
142,1
143,5
144,2
145,2
146,4
147,5
148,4
149,4
150,3
151,3
152,1
153,2
154,4
155,1
156,0
157,4
158,4
159,6
160,6
161,6
162,1
163,2
164,2
165,6
166,5
167,6
168,1
169,6
170,0
171,5
172,6
173,0
174,4
175,6
176,0
177,2
178,1
179,5
180,6
181,5
182,5
183,6
184,4
185,2
186,3
187,4
188,1
189,4
190,0
191,2
192,6
193,6
194,0
195,4
196,2
197,4
198,1
199,2
200,3
201,2
202,1
203,2
204,4
205,2
206,2
207,0
208,0
209,1
210,6
211,6
212,0
213,2
214,5
215,3
216,6
217,2
218,1
219,6
220,2
221,0
222,0
223,5
224,3
225,0
226,5
227,4
228,4
229,5
230,5
231,2
232,6
233,6
234,0
235,6
236,1
237,4
238,0
239,3
240,6
241,2
242,1
243,4
244,6
245,4
246,5
247,1
248,1
249,6
250,2
251,2
252,6
253,1
254,2
255,2
256,0
257,0
258,4
259,4
260,4
261,0
262,3
263,6
264,0
265,2
266,2
267,1
268,1
269,6
270,1
271,3
272,1
273,4
274,1
275,6
276,1
277,5
278,0
279,2
280,5
281,4
282,5
283,5
284,2
285,1
286,3
287,5
288,1
289,5
290,5
291,1
292,6
293,4
294,3
295,5
296,3
297,0
298,1
299,5
300,1
301,0
302,0
303,4
304,3
305,6
306,0
307,0
308,3
309,5
310,5
311,2
312,2
313,6
314,3
315,6
316,5
317,5
318,6
319,3
320,2
321,4
322,2
323,3
324,2
325,4
326,4
327,3
328,3
329,6
330,5
331,4
332,2
333,5
334,6
335,5
336,5
337,1
338,5
339,1
340,3
341,5
342,3
343,5
344,3
345,1
346,4
347,4
348,4
349,0
350,0
351,4
352,1
353,5
354,0
355,6
356,3
357,0
358,0
359,5
360,2
361,4
362,5
363,4
364,1
365,0
366,2
367,4
368,6
369,0
370,6
371,4
372,6
373,5
374,1
375,2
376,5
377,5
378,2
379,0
380,2
381,6
382,2
383,6
384,2
385,4
386,5
387,2
388,4
389,5
390,5
391,6
392,6
393,4
394,1
395,0
396,6
397,5
398,1
399,5
400,6
401,2
402,5
403,3
404,5
405,4
406,6
407,5
408,5
409,1
410,2
411,3
412,0
413,5
414,1
415,3
416,4
417,0
418,5
419,0
420,4
421,5
422,3
423,5
424,3
425,6
426,6
427,1
428,0
429,0
430,1
431,3
432,6
433,1
434,2
435,2
436,1
437,0
438,1
439,4
440,4
441,1
442,0
443,3
444,0
445,2
446,3
447,4
448,1
449,2
450,4
451,3
452,1
453,5
454,2
455,2
456,1
457,5
458,3
459,6
460,2
461,6
462,0
463,4
464,1
465,2
466,4
467,1
468,6
469,4
470,2
471,0
472,5
473,4
474,2
475,0
476,2
477,0
478,5
479,4
480,0
481,1
482,3
483,2
484,6
485,5
486,2
487,3
488,1
489,2
490,1
491,6
492,4
493,6
494,0
495,1
496,4
497,2
498,3
499,1
500,3
501,3
502,3
503,0
504,0
505,1
506,0
507,3
508,3
509,0
510,0
511,5
512,1
513,2
514,3
515,5
516,1
517,3
518,5
519,2
520,2
521,3
522,1
523,4
524,1
525,5
526,5
527,2
528,3
529,5
530,6
531,0
532,1
533,4
534,5
535,2
536,3
537,5
538,4
539,6
540,4
541,2
542,1
543,5
544,1
545,5
546,6
547,4
548,0
549,2
550,6
551,2
552,5
553,3
554,2
555,0
556,2
557,2
558,5
559,1
560,0
561,5
562,3
563,1
564,5
565,1
566,1
567,3
568,1
569,1
570,4
571,3
572,0
573,1
574,0
575,3
576,0
577,4
578,2
579,0
580,6
581,6
582,1
583,2
584,4
585,3
586,5
587,2
588,5
589,5
590,5
591,5
592,0
593,0
594,0
595,2
596,5
597,5
598,1
599,5
600,3
601,4
602,4
603,5
604,0
605,4
606,2
607,4
608,3
609,4
610,4
611,4
612,6
613,3
614,0
615,3
616,3
617,2
618,5
619,6
620,5
621,5
622,0
623,0
624,1
625,3
626,5
627,5
628,6
629,5
630,1
631,2
632,0
633,3
634,0
635,1
636,1
637,1
638,1
639,6
640,3
641,1
642,4
643,5
644,2
645,5
646,1
647,1
648,2
649,1
650,4
651,3
652,2
653,6
654,3
655,3
656,0
657,6
658,4
659,3
660,0
661,5
662,2
663,0
664,6
665,0
666,4
667,0
668,4
669,0
670,0
671,3
672,1
673,3
674,3
675,6
676,5
677,4
678,4
679,3
680,1
681,3
682,5
683,2
684,5
685,3
686,0
687,6
688,6
689,6
690,3
691,4
692,5
693,1
694,5
695,2
696,1
697,6
698,3
699,0
700,3
701,1
702,4
703,4
704,6
705,4
706,5
707,2
708,1
709,5
710,1
711,3
712,3
713,2
714,6
715,3
716,5
717,5
718,2
719,6
720,3
721,0
722,3
723,6
724,5
725,1
726,1
727,5
728,2
729,1
730,4
731,1
732,5
733,0
734,0
735,2
736,3
737,5
738,2
739,5
740,4
741,0
742,6
743,1
744,4
745,6
746,0
747,0
748,0
749,0
750,1
751,6
752,2
753,1
754,2
755,0
756,0
757,2
758,4
759,1
760,0
761,0
762,5
763,4
764,5
765,6
766,5
767,2
768,1
769,4
770,3
771,1
772,3
773,1
774,5
775,2
776,1
777,4
778,1
779,5
780,0
781,6
782,2
783,0
784,6
785,6
786,2
787,2
788,3
789,3
790,5
791,1
792,6
793,2
794,3
795,6
796,4
797,5
798,1
799,0
800,0
801,4
802,5
803,2
804,4
805,4
806,6
807,3
808,3
809,1
810,6
811,3
812,3
813,1
814,4
815,2
816,6
817,4
818,0
819,5
820,0
821,1
822,4
823,6
824,1
825,4
826,5
827,4
828,6
829,0
830,2
831,3
832,2
833,3
834,1
835,3
836,5
837,4
838,4
839,5
840,1
841,3
842,6
843,3
844,6
845,5
846,1
847,3
848,6
849,6
850,6
851,4
852,5
853,0
854,1
855,0
856,3
857,5
858,5
859,3
860,0
861,1
862,0
863,5
864,1
865,5
866,1
867,1
868,0
869,4
870,6
871,4
872,1
873,4
874,2
875,4
876,5
877,1
878,1
879,0
880,5
881,4
882,2
883,1
884,3
885,2
886,3
887,5
888,0
889,4
890,4
891,4
892,3
893,6
894,6
895,5
896,4
897,2
898,5
899,6
900,3
901,4
902,0
903,2
904,0
905,6
906,3
907,5
908,5
909,5
910,4
911,4
912,6
913,0
914,2
915,4
916,3
917,6
918,6
919,1
920,3
921,3
922,6
923,3
924,1
925,6
926,2
927,1
928,5
929,2
930,4
931,0
932,2
933,0
934,4
935,5
936,3
937,6
938,6
939,1
940,5
941,5
942,2
943,3
944,4
945,6
946,0
947,3
948,4
949,3
950,3
951,2
952,1
953,5
954,2
955,2
956,0
957,0
958,6
959,4
960,4
961,3
962,4
963,3
964,6
965,1
966,1
967,1
968,4
969,4
970,6
971,0
972,0
973,6
974,2
975,1
976,3
977,1
978,1
979,0
980,0
981,4
982,3
983,1
984,2
985,0
986,0
987,3
988,2
989,5
990,2
991,6
992,3
993,0
994,5
995,5
996,4
997,6
998,1
999,1
1000,5
1001,0
1002,6
1003,3
1004,2
1005,1
1006,1
1007,4
1008,2
1009,0
1010,4
1011,1
1012,1
1013,1
1014,0
1015,1
1016,1
1017,4
1018,6
1019,3
1020,5
1021,3
1022,5
1023,1
1024,0
1025,4
1026,3
1027,5
1028,4
1029,4
1030,3
1031,6
1032,3
1033,6
1034,2
1035,3
1036,5
1037,4
1038,1
1039,1
1040,1
1041,3
1042,4
1043,0
1044,6
1045,3
1046,6
1047,6
1048,3
1049,6
1050,6
1051,4
1052,1
1053,6
1054,4
1055,3
1056,1
1057,2
1058,3
1059,2
1060,1
1061,4
1062,0
1063,6
1064,2
1065,4
1066,4
1067,0
1068,5
1069,4
1070,5
1071,1
1072,4
1073,2
1074,3
1075,0
1076,3
1077,0
1078,4
1079,0
1080,1
1081,2
1082,0
1083,6
1084,2
1085,6
1086,3
1087,3
1088,5
1089,0
